,gender,gender_origin
"Ajellomyces_capsulatus_16548287:Ajellomyces capsulatus
",none,"patients 31 HIV-infected patients recruited 31 HIV-infected patients we recruited 31 HIV-infected patients 31 study, we recruited 31 HIV-infected patients recruited 31 , we recruited 31 HIV-infected patients we recruited 31 31 patients study, we recruited 31 HIV-infected patients infected patients -infected patients recruited , we recruited 31 and patients (38.7), using bone marrow examination. CONCLUSION: In this subgroup of patients we recruited patients with"
"Ajellomyces_capsulatus_17152648:Ajellomyces capsulatus
",男,"male 46-year-old Hispanic male male from Ecuador male from Ecuador presented with fever, malaise, weight loss, and dyspnea. He Hispanic male year-old Hispanic male old Hispanic male -year-old Hispanic male male from -old Hispanic male A 46-year-old Hispanic male :A 46-year-old Hispanic male AIDS.ABSTRACT:A 46-year-old Hispanic male male from Ecuador presented with fever, malaise, weight loss, and dyspnea. He was HIV-positive ABSTRACT:A 46-year-old Hispanic male 46 46-year-old Hispanic male from Ecuador patient 46-year-old Hispanic male from Ecuador presented with fever, malaise, weight loss, and dyspnea. He 46-year-old"
"Ajellomyces_capsulatus_17278049:Ajellomyces capsulatus
",none,patients records of patients records 19 patients patient We performed a review of the records of patients review of the records of patients We performed a review of the records performed a review of the records of patients patients. One patient review of the records a review of the records of patients 11 (58%) of 19 patients Many of the patients performed a review of the records the records of patients a review of the records patients who had acute or chronic coccidioidomycosis were tested patients who had acute or chronic coccidioidomycosis were tested. The sensitivity from 11 (58%) of 19 patients
"Ajellomyces_capsulatus_17998368:Ajellomyces capsulatus
",男,"man 38-year-old white man white man we describe a 38-year-old white man describe a 38-year-old white man year-old white man old white man man with -year-old white man -old white man a 38-year-old white man man with a history man with a this case report, we describe a 38-year-old white man report, we describe a 38-year-old white man case report, we describe a 38-year-old white man , we describe a 38-year-old white man 38 38-year-old white 38-year-old"
"Ajellomyces_capsulatus_18574291:Ajellomyces capsulatus
",男,men two previously healthy men cases of two previously healthy men We report the cases of two previously healthy men previously healthy men men who healthy men the cases of two previously healthy men report the cases of two previously healthy men men who presented with severe ARDS secondary to blastomycosis. Refractory hypoxemia developed in both patients of two previously healthy men men who presented with severe ARDS secondary to blastomycosis. Refractory hypoxemia developed in both . We report the cases of two previously healthy men . two patients two patients cases of two two previously healthy men who We report the cases of two
"Ajellomyces_capsulatus_1881420:Ajellomyces capsulatus
",男,man 46-year-old man year-old man old man -year-old man -old man A 46-year-old man man with . A 46-year-old man 39-1991. A 46-year-old man exercises. Case 39-1991. A 46-year-old man 1991. A 46-year-old man Case 39-1991. A 46-year-old man -1991. A 46-year-old man 46 46-year 46-year-old 46- 46-year- 46-year-old man with
"Ajellomyces_capsulatus_19294867:Ajellomyces capsulatus
",none,patients most patients most patients has increased substantially during the last decades. Numerically the most patients last decades. Numerically the most patients paper patients are the most patients patients has increased substantially during the last decades. Numerically the most decades. Numerically the most patients substantially during the last decades. Numerically the most patients increased substantially during the last decades. Numerically the most patients last decades. Numerically the most during the last decades. Numerically the most patients most patients are patients are those the most decades. Numerically the most the last decades. Numerically the most patients substantially during the last decades. Numerically the most
"Ajellomyces_capsulatus_19645867:Ajellomyces capsulatus
",none,". persons less frequent, their presence in the lung is often indicative of disseminated disease and is associated with significant mortality. less in persons Nevertheless, PCP continues to occur in persons . Nevertheless, PCP continues to occur in persons persons who are unaware of their HIV declined. Nevertheless, PCP continues to occur in persons incidence of Pneumocystis pneumonia (PCP) has declined. Nevertheless, PCP continues to occur in persons persons who are unaware of their HIV infection persons who are unaware of their HIV infection, those who fail to access medical care persons who persons who are unaware of their HIV infection, those has declined. Nevertheless, PCP continues to occur in persons occur in persons in persons who are unaware of their HIV Nevertheless, PCP continues to occur in persons who are unaware of their HIV declined. . Nevertheless, PCP continues to occur in persons who are unaware of their HIV"
"Ajellomyces_capsulatus_20410844:Ajellomyces capsulatus
",none,child child with Crohn disease receiving a child a a child with Crohn disease receiving
"Ajellomyces_capsulatus_20414100:Ajellomyces capsulatus
",男,females males and 5 females males 5 females 15 males and 5 females males and 5 females (mean age males and males and 5 females (mean age 15 males females (mean age 52 y females (mean males and 5 females (mean age 52 y males and 5 females (mean and 5 females Patients included 15 males and 5 females females (mean age 52 males and 5 females (mean age 52 Patients included 15 males females (mean age 52 y)
"Ajellomyces_capsulatus_21601471:Ajellomyces capsulatus
",女,"women women, 156 men men patients (140 women patients (140 women, 156 men women, , 156 men 140 women 140 women, 156 men women, 156 156 men patients consecutive patients (140 women consecutive patients (140 women, 156 men women, 156 men, median age 296 consecutive patients (140 women, 296 consecutive patients (140 women, 156 men, men, median age 296 consecutive patients (140 women women, 156 men, median age=61"
"Ajellomyces_capsulatus_21634031:Ajellomyces capsulatus
",男,"boy 12-year old previously healthy boy We present a 12-year old previously healthy boy previously healthy boy present a 12-year old previously healthy boy year old previously healthy boy healthy boy a 12-year old previously healthy boy old previously healthy boy -year old previously healthy boy boy in whom boy in whom histoplasmosis presented with pleuritis, confirmed by detection of antigen in empyema fluid. 12 12-year old previously We present a 12 12-year 12-year old present a 12 12- 12-year old previously healthy"
"Ajellomyces_capsulatus_21810734:Ajellomyces capsulatus
",none,"158 218 patients 158 patients 218 patients 218 patients with histoplasmosis and 229 218 patients with histoplasmosis and 229 control subjects 229 229 control subjects 218 patients with histoplasmosis and 229 control subjects patients with histoplasmosis and 229 patients with histoplasmosis and 229 control subjects 229 control patients with histoplasmosis and 229 control control subjects specimens obtained from 218 patients control from 218 patients 218 patients with histoplasmosis and 229 control subjects, including 30 with blastomycosis, were tested"
