,immu,immu_origin
"Ajellomyces_capsulatus_11780341:Ajellomyces capsulatus
",none,"normal normal people and 435 hospitalized patients normal persons normal people normal people and 435 hospitalized normal persons and other pneumonopathy patients. normal people and normal people and 435 hospital persons normal people and 435 normal persons and other pneumonopathy patients hospitalized patients normal people and 435 hospitalized patients, who 435 hospitalized patients . normal persons and other pneumonopathy hospitalized persons and other pneumonopathy patients. normal people and 435 hospitalized patients, who lived and 435 hospitalized patients"
"Ajellomyces_capsulatus_13339824:Ajellomyces capsulatus
",none,"Gruber Gruber, Camp Gruber Gruber, Oklahoma Gruber, Oklahoma, in 1944; follow-up studies implicating Histoplasma capsulatum as the etiologic agent.ABSTRACT: Camp Gruber, Oklahoma, G Camp Gruber, Oklahoma Oklahoma, in 1944; follow-up studies implicating Histoplasma capsulatum as the etiologic agent. Oklahoma Camp G . Gruber, Oklahoma, in 1944 Gru Gruber, Oklahoma, in Gruber, Oklahoma, in 1944; Camp Gruber, Oklahoma, in 1944 Camp Gru Camp Gruber, Oklahoma, in"
"Ajellomyces_capsulatus_14525547:Ajellomyces capsulatus
",抑制,HIV-infected HIV-infected patient HIV antiretroviral therapy HIV-infected patient: apparent selective immune reconstitution after initiation of antiretroviral therapy antiretroviral infected HIV who experience a sustained immune response as a result of antiretroviral anti infected patient infected with HIV antiretrovira HIV who experience a sustained immune response HIV-infected patient: apparent selective immune reconstitution HIV-infected patient: apparent selective immune reconst HIV-infected patient: apparent patient HIV-infected patient: apparent selective immune reconstitution after initiation of antiretroviral HIV-infected patient: apparent selective immune reconstitution after initiation HIV who experience a sustained
"Ajellomyces_capsulatus_14663287:Ajellomyces capsulatus
",抑制,"immunodeficiency im immunode immuno previously affected individual were diagnosed exclusively because of the presence of the positive family history before any clinical symptoms developed. Over half the patients developed symptoms of im primary immunodeficiency immunologic features of 79 immunodeficiency disease a previously affected individual were diagnosed exclusively because of the presence of the positive family history before any clinical symptoms developed. Over half the patients developed symptoms of im immunologic previously affected individual individual were diagnosed exclusively because of the presence of the positive family history before any clinical symptoms developed. Over half the patients developed symptoms of im uremic immunodeficiency disease caused by mutations in the gene for CD40 ligand and a previously affected individual immunodeficiency disease caused by mutations in the gene for CD40 ligand and characterized by normal or elevated previously affected individual. However, only one-third of the patients born into a family with a previously affected individual individual a family with a previously affected individual 79"
"Ajellomyces_capsulatus_15569333:Ajellomyces capsulatus
",抑制,"Oriental immunosuppress Caucasians 7, African Americans 5, Oriental patient Oriental 1, serum creatinine 208 patient age 33 +/- 14 SD years, female/male ratio 11/2, Caucasians 7, African Americans 5, Oriental immunosuppressant SD years, female/male ratio 11/2, Caucasians 7, African Americans 5, Oriental patients African Americans 5, Oriental , female/male ratio 11/2, Caucasians 7, African Americans 5, Oriental , Oriental SLE MN patients 208 SL im immunosuppressant mycophenolic acid (MMF) has been used successfully to manage proliferative forms of systemic immunosup therapy"
"Ajellomyces_capsulatus_1556966:Ajellomyces capsulatus
",none,"operator operator, worked in Africa normal a bulldozer-operator worked in Africa operator, worked in Africa for a long period in extremely operator, worked Africa extremely operator, worked in Africa for a long period in extremely dusty extremely dusty -operator a bulldozer-operator, worked in Africa worked in Africa for a long period in extremely worked Africa for a long period in extremely worked in Africa for a long period in extremely dusty Africa for a long period in extremely dusty operator, worked in Africa for a long period in extremely dusty conditions normal immunological parameters"
"Ajellomyces_capsulatus_16145175:Ajellomyces capsulatus
",none,Addison's disease corticosteroid disease Addison's disease and long-term use of corticosteroid long-term use of corticosteroid Addison's disease.ABSTRACT:We present a case of fatal histoplasmosis in a patient with Addison's disease Addison disease and long-term use of corticosteroid co disease.ABSTRACT:We present a case of fatal histoplasmosis in a patient with Addison's disease s disease patient with Addison's disease Addison's disease and long Addison's disease and long-term use of co Addison's with Addison's disease Addison's disease and long-term use Addison's disease and long-term long long-term use of co
"Ajellomyces_capsulatus_16331860:Ajellomyces capsulatus
",抑制,human immunodeficiency virus immunodeficiency virus human immunodeficiency human immunodeficiency virus (HIV immunodeficiency immunodeficiency virus (HIV HIV human the human immunodeficiency virus the human immunodeficiency the human immunodeficiency virus (HIV human im im virus virus (HIV infected with the human immunodeficiency virus infected with the human immunodeficiency infected with the human immunodeficiency virus (HIV the HIV-infected
"Ajellomyces_capsulatus_16440543:Ajellomyces capsulatus
",none,questionable lung mass in a 59 questionable lung mass in a 59-year-old man questionable 59 59-year-old man man questionable lung mass in a 59-year questionable lung mass in a 59-year-old year-old man questionable lung mass in a 59- 59-year questionable lung mass in a 59-year- 59-year-old questionable lung mass old man -year-old man 59- questionable lung mass in a 59-year-old man. -old man 59-year-
"Ajellomyces_capsulatus_16548287:Ajellomyces capsulatus
",抑制,"HIV-infected HIV-infected patients HIV HIV- infected infected patients -infected patients -infected patients HIV infected 31 HIV-infected - HIV infected patients 31 HIV-infected patients HIV-infected patients with coexisting pancytopenia, with or withoutfever HIV-infected patients with HIV-infected patients with coexisting pancytopenia HIV-infected patients with coexisting pancytopenia, with or withoutfe study, we recruited 31 HIV-infected 31 HIV"
"Ajellomyces_capsulatus_17152648:Ajellomyces capsulatus
",抑制,"HIV-positive HIV AIDS HIV- positive HIV-positive with a CD4+ cell count HIV-positive with a CD4+ cell HIV-positive with a -positive AIDS.ABSTRACT:A 46-year-old Hispanic male from Ecuador HIV-positive with a CD Hispanic male from Ecuador presented with fever, malaise, weight loss, and dyspnea. He was HIV-positive HIV-positive with HIV-positive with a CD4+ AIDS.ABSTRACT:A 46-year-old Hispanic Ecuador presented with fever, malaise, weight loss, and dyspnea. He was HIV-positive HIV-positive with a CD4+ cell count of 4/microL Hispanic male from Ecuador presented with fever, malaise, weight loss, and dyspnea. He was HIV HIV-positive with a CD4+ cell count of 4/ Ecuador presented with fever, malaise, weight loss, and dyspnea. He was HIV"
